region_name,governorate_name
Ben Gardane,MEDENINE
Séjoumi,TUNIS
M'saken,SOUSSE
Nador,ZAGHOUAN
Mateur,BIZERTE
Siliana,SILIANA
Kébili,KEBILI
Ben Arous,BEN_AROUS
Bir Ali Ben Khalifa,SFAX
Bir El Hafey,SIDI_BOUZID
Bizerte,BIZERTE
Bou Arada,SILIANA
Bou Salem,JENDOUBA
Bouficha,SOUSSE
Béja,BEJA
Chébika,TOZEUR
Djerba,MEDENINE
Douz,KEBILI
El Fahs,ZAGHOUAN
El Hamma du Jérid,TOZEUR
El Hencha,SFAX
El Krib,SILIANA
El Ksar,GAFSA
Enfidha ,SOUSSE
Ettadhamen,ARIANA
Fouchana,BEN_AROUS
Gafsa,GAFSA
Ghardimaou,JENDOUBA
Hajeb El Ayoun,KAIROUAN
Hammam Lif,BEN_AROUS
Hammamet,NABEUL
Jardin d'El Menzah,ARIANA
Jelma,SIDI_BOUZID
Jemmal,MONASTIR
Jendouba,JENDOUBA
Kairouan,KAIROUAN
Ksar Hellel ,MONASTIR
Le Kef,KEF
Mahares,SFAX
Majaz Al Bab,BEJA
Makthar,SILIANA
Manouba,MANOUBA
Menzel Chaker,SFAX
Mnihla,ARIANA
Moknine,MONASTIR
Monastir,MONASTIR
Médenine,MEDENINE
Métlaoui,GAFSA
Nefza,BEJA
Oudhref,GABES
Remada,TATAOUINE
Sbeïtla,KASSERINE
Sejnane,BIZERTE
Sfax,SFAX
Sidi Bouzid,SIDI_BOUZID
Siliana,SILIANA
Tabarka,JENDOUBA
Tajerouine,KEF
Tataouine,TATAOUINE
Thala,KASSERINE
Tunis,TUNIS
Tébourba,MANOUBA
Téboursouk,BEJA
Utique,BIZERTE
Zaghouan,ZAGHOUAN
Aouina,TUNIS
Ariana,ARIANA
Borj El Aifa,KEF
Bou Hajla,KAIROUAN
Dahmani,KEF
El Jem,MAHDIA
Gabès,GABES
Hammam Sousse,SOUSSE
Kasserine,KASSERINE
Korba,NABEUL
Mahdia,MAHDIA
Menzel Temime,NABEUL
Nabeul,NABEUL
Sahline,MONASTIR
Sbikha,KAIROUAN
Slimane,NABEUL
Sousse,SOUSSE
Tozeur,TOZEUR
Zarzis,MEDENINE
Soukra,ARIANA
Raoued,ARIANA
Bab El Bhar,TUNIS
Bab Souika,TUNIS
Carthage,TUNIS
Cité El Khadra,TUNIS
Djebel Jelloud,TUNIS
El Kabaria,TUNIS
El Menzah,TUNIS
El Omrane,TUNIS
El Omrane supérieur,TUNIS
El Ouardia,TUNIS
Ettahrir,TUNIS
La Goulette,TUNIS
La Marsa,TUNIS
Le Bardo,TUNIS
Le Kram,TUNIS
Médina,TUNIS
Sidi El Béchir,TUNIS
Sidi Hassine,TUNIS
Kalaât El Andalous,ARIANA
Sidi Thabet,ARIANA
Amdoun,BEJA
Goubellat,BEJA
Testour,BEJA
Thibar,BEJA
Boumhel,BEN_AROUS
El Mourouj,BEN_AROUS
Ezzahra,BEN_AROUS
Hammam Chott : borj cédria,BEN_AROUS
Mohamedia,BEN_AROUS
Medina Jedida,BEN_AROUS
Mégrine,BEN_AROUS
Mornag,BEN_AROUS
Radès,BEN_AROUS
Djoumime,BIZERTE
El Alia,BIZERTE
Ghar El Melh,BIZERTE
Ghezala,BIZERTE
Menzel Bourguiba,BIZERTE
Menzel Jemil,BIZERTE
Ras Jebel,BIZERTE
Tinja,BIZERTE
Zarzouna,BIZERTE
Gabès Médina,GABES
Gabès Ouest,GABES
Gabès Sud,GABES
Ghannouch,GABES
El Hamma,GABES
Matmata,GABES
Mareth,GABES
Menzel El Habib,GABES
Métouia,GABES
Nouvelle Matmata,GABES
Bizerte Nord,BIZERTE
Bizerte Sud,BIZERTE
Béja Nord,BEJA
Béja Sud,BEJA
Gafsa Nord,GAFSA
Gafsa Sud,GAFSA
Belkhir,GAFSA
El Guettar,GAFSA
Mdhila,GAFSA
Oum El Araies,GAFSA
Redeyef,GAFSA
Sidi Aïch,GAFSA
Sened,GAFSA
Aïn Draham,JENDOUBA
Balta-Bou Aouane,JENDOUBA
Fernana,JENDOUBA
Jendouba Nord,JENDOUBA
Oued Meliz,JENDOUBA
Chébika,KAIROUAN
Echrarda,KAIROUAN
El Alâa,KAIROUAN
El Ouslatia,KAIROUAN
Haffouz,KAIROUAN
Kairouan Nord,KAIROUAN
Kairouan Sud,KAIROUAN
Nasrallah,KAIROUAN
Djedeliane,KASSERINE
El Ayoun,KASSERINE
Ezzouhour,KASSERINE
Fériana,KASSERINE
Foussana,KASSERINE
Hassi Ferid,KASSERINE
Hidra,KASSERINE
Kasserine Nord,KASSERINE
Kasserine Sud,KASSERINE
Majel Bel Abbès,KASSERINE
Sbiba,KASSERINE
Douz Nord,KEBILI
Douz Sud,KEBILI
Faouar,KASSERINE
Kébili Nord,KEBILI
Kébili Sud,KEBILI
Souk Lahad,KEBILI
Djerissa,KEF
El Ksour,KEF
Kalâat Khasbah,KEF
Kalâat Snan,KEF
Kef Est,KEF
Kef Ouest,KEF
Nebeur,KEF
Sakiet Sidi Youssef,KEF
Bou Merdes,MAHDIA
Chebba,MAHDIA
Chorbane,MAHDIA
Hebira,MAHDIA
Ksour Essef,MAHDIA
Melloulèche,MAHDIA
Ouled Chamekh,MAHDIA
Sidi Alouane,MAHDIA
Borj El Amri,MANOUBA
Djedeida,MANOUBA
Douar Hicher,MANOUBA
El Battan,MANOUBA
Mornaguia,MANOUBA
Oued Ellil,MANOUBA
Beni Khedech,MEDENINE
Djerba - Ajim,MEDENINE
Djerba - Houmt Souk,MEDENINE
Djerba - Midoun,MEDENINE
Médenine Nord,MEDENINE
Médenine Sud,MEDENINE
Sidi Makhloulf,MEDENINE
Bekalta,MONASTIR
Bembla,MONASTIR
Beni Hassen,MONASTIR
Ksibet el-Médiouni,MONASTIR
Ouerdanine,MONASTIR
Sahline,MONASTIR
Sayada-Lamta-Bou Hajar,MONASTIR
Téboulba,MONASTIR
Zéramdine,MONASTIR
Béni Khalled,NABEUL
Béni Khiar,NABEUL
Bou Argoub,NABEUL
Dar Châabane El Fehri,NABEUL
El Haouaria,NABEUL
El Mida,NABEUL
Grombalia,NABEUL
Hammam Ghezèze,NABEUL
Kélibia,NABEUL
Menzel Bouzelfa,NABEUL
Soliman,NABEUL
Takelsa,NABEUL
Agareb,SFAX
El Amra,SFAX
Ghraiba,SFAX
Jebiniana,SFAX
Kerkennah,SFAX
Sakiet Eddaïer,SFAX
Sakiet Ezzit,SFAX
Sfax Ouest,SFAX
Sfax Sud,SFAX
Sfax Ville,SFAX
Skhira,SFAX
Thyna,SFAX
Cebbala Ouled Asker,SIDI_BOUZID
Meknassy,SIDI_BOUZID
Menzel Bouzaiane,SIDI_BOUZID
Mezzouna,SIDI_BOUZID
Ouled Haffouz,SIDI_BOUZID
Regueb,SIDI_BOUZID
Sidi Ali Ben Aoun,SIDI_BOUZID
Sidi Bouzid Est,SIDI_BOUZID
Sidi Bouzid Ouest,SIDI_BOUZID
Souk Jedid,SIDI_BOUZID
Bargou,SILIANA
Sidi Bou Rouis,SILIANA
El Aroussa,SILIANA
Rouhia,SILIANA
Gaâfour,SILIANA
Kesra,SILIANA
Siliana Nord,SILIANA
Siliana Sud,SILIANA
Hergla,SILIANA
Kalaâ Kebira,SOUSSE
Kalâa Sghira,SOUSSE
Kondar,SOUSSE
Sidi Bou Ali,SOUSSE
Sidi El Héni,SOUSSE
Sousse Jawhara,SOUSSE
Sousse Medina,SOUSSE
Bir Lahmar,TATAOUINE
Dehiba,TATAOUINE
Ghomrassen,TATAOUINE
Tataouine Nord,TATAOUINE
Sousse Riadh,SOUSSE
Tataouine Sud,TATAOUINE
Bir Mchergua,ZAGHOUAN
Degache,TOZEUR
Hazoua,TOZEUR
Sousse Sidi Abdelhamid,SOUSSE
Zaouit-Ksibat Thrayett,SOUSSE
Smâr,TATAOUINE
Nefta,TOZEUR
Tameghza,TOZEUR
En-Nadhour,ZAGHOUAN
Ez-Zeriba,ZAGHOUAN
Saouaf,ZAGHOUAN
Akouda,SOUSSE
Den Den,MANOUBA
Bab Saadoun,TUNIS
Charguia,TUNIS
Borj Louzir,ARIANA
Cité ghazela,ARIANA
Zannouch,GAFSA
Hergla,SOUSSE
Ain Zaghouan,TUNIS
Ksar Said,TUNIS
Cité El Intilaka,TUNIS
Cité Ezzouhour,TUNIS
Mellasine,TUNIS
Cité Ibn Khaldoun,TUNIS
Zahrouni,TUNIS
Ezzouhour,TUNIS
Mutuelleville,TUNIS
El Manar,TUNIS
Montplaisir,TUNIS
Mrezga,NABEUL
Bir Bou Rekba,NABEUL
Tazarka,NABEUL
Bab Khadra,TUNIS
Essouassi,MAHDIA
